Device Name,Device Type,Vendor,Model Number,Serial Number,Operating System Version,MAC Address,Location,CPU Usage (%),Storage Usage (GB),Heat (C),IP Address
Firewall-01,Firewall,Cisco,XR1000,11223GHI,v8.5.6,90:1f:b8:7a:92:be,"Data Center C, Rack 8",40,80,60,116.0.1.3
Router-01,Router,Juniper,XR1000,12345ABC,v12.1.3,e6:99:c9:98:9d:fb,"Data Center A, Rack 12",30,250,60,10.135.1.1
Switch-01,Switch,Juniper,EX4200,67890DEF,v12.1.3,60:45:27:7d:84:18,"Data Center A, Rack 12",30,80,48,91.0.1.3
Router-01,Switch,Cisco,EX4200,12345ABC,v12.1.3,04:a4:e8:25:ef:71,"Data Center C, Rack 8",32,80,55,10.0.1.1
Router-01,Firewall,Juniper,PA-850,67890DEF,v12.1.3,da:72:6f:43:36:86,"Data Center A, Rack 12",30,182,46,192.151.1.2
Firewall-01,Switch,Juniper,XR1000,11223GHI,v8.5.6,90:09:71:94:67:3a,"Data Center C, Rack 8",35,153,45,139.0.1.3
Firewall-01,Router,Cisco,EX4200,67890DEF,v8.5.6,7a:b4:c4:e3:83:2a,"Data Center C, Rack 8",40,250,45,100.45.1.3
Router-01,Switch,Cisco,PA-850,67890DEF,v14.2.1,24:55:ca:da:82:42,"Data Center B, Rack 5",30,80,45,10.0.1.3
Switch-01,Switch,Juniper,EX4200,11223GHI,v8.5.6,de:6c:d4:57:df:d4,"Data Center B, Rack 5",33,80,53,153.0.1.2
Router-01,Router,Palo Alto,PA-850,12345ABC,v12.1.3,14:e2:35:04:37:7d,"Data Center A, Rack 12",37,80,60,10.67.1.2
Firewall-01,Router,Palo Alto,XR1000,67890DEF,v8.5.6,10:2a:18:8e:f8:d3,"Data Center C, Rack 8",40,80,59,192.0.1.3
Router-01,Firewall,Cisco,EX4200,11223GHI,v12.1.3,42:85:72:53:cd:08,"Data Center A, Rack 12",35,250,60,10.51.1.1
Switch-01,Firewall,Palo Alto,EX4200,12345ABC,v12.1.3,ec:49:9f:aa:87:92,"Data Center B, Rack 5",30,80,45,10.0.1.3
Router-01,Firewall,Cisco,PA-850,12345ABC,v14.2.1,b6:c7:cf:86:63:f6,"Data Center A, Rack 12",30,80,47,192.153.1.3
