LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate
6753918,2015-10-18,18:03:54.40,INFO,DataStreamer for file /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E74,"Retrying connect to server: <*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)"
2886039,2015-10-18,18:08:47.00,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E77,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>
1707435,2015-10-18,18:04:35.44,INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E85,Resolved <*> to /default-rack
5696310,2015-10-18,18:05:11.02,INFO,main,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E80,Progress of TaskAttempt attempt_<*> is : <*>.<*>
4117076,2015-10-18,18:04:29.66,INFO,IPC Server handler 4 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E58,Progress of TaskAttempt attempt_<*> is : <*>.<*>
15549010,2015-10-18,18:06:21.41,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E31,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>
16767321,2015-10-18,18:09:25.10,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E83,Got allocated containers <*>
3009447,2015-10-18,18:04:06.61,INFO,main,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E66,TaskAttempt: [attempt_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [<*>:<*>]
1334711,2015-10-18,18:06:31.74,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
6283823,2015-10-18,18:06:47.34,WARN,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
12311562,2015-10-18,18:02:28.49,INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E13,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>
4127805,2015-10-18,18:06:59.92,INFO,ContainerLauncher #3,org.apache.hadoop.hdfs.LeaseRenewer,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E83,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:0 ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
8790514,2015-10-18,18:04:39.12,INFO,Socket Reader #1 for port 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E80,Progress of TaskAttempt attempt_<*> is : <*>.<*>
16230995,2015-10-18,18:09:23.17,WARN,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
5968243,2015-10-18,18:04:20.28,INFO,ContainerLauncher #0,org.apache.hadoop.yarn.client.RMProxy,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E27,Processing the event EventType: TASK_ABORT
12837484,2015-10-18,18:08:05.57,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E83,ERROR IN CONTACTING RM.
9766574,2015-10-18,18:07:05.40,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
3401130,2015-10-18,18:07:30.00,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
13024315,2015-10-18,18:02:33.47,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E56,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>
5990495,2015-10-18,18:04:00.86,WARN,IPC Server listener on 62260,org.apache.hadoop.hdfs.DFSClient,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E102,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
3170577,2015-10-18,18:02:31.15,INFO,IPC Server handler 27 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E80,Got allocated containers <*>
1079224,2015-10-18,18:07:54.32,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
12519221,2015-10-18,18:08:49.13,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
